gtdb_species_clade_id	all_core	all_singleton	all_accessory	all_gene_clusters
s__2-01-FULL-44-21_sp001777655--GB_GCA_001777655.1	768	239	0	1007
s__ASP10-02a_sp018647765--GB_GCA_018647765.1	1665	728	718	3111
s__2-12-FULL-39-13_sp001824485--GB_GCA_001824485.1	711	2091	1019	3821
s__14-2_sp012519695--GB_GCA_012519695.1	2111	1870	669	4650
s__Acetatifactor_sp934394815--GB_GCA_934394815.1	2244	696	0	2940
s__2-12-FULL-35-15_sp903911435--GB_GCA_903911435.1	2250	3982	1892	8124
s__Absicoccus_porci--RS_GCF_003725415.1	1338	2280	1266	4884
s__Accumulibacter_meliphilus--GB_GCA_003332265.1	2129	4156	0	6285
s__12-FULL-44-12b_sp001823695--GB_GCA_001823695.1	582	212	0	794
s__67-14_sp020636955--GB_GCA_020636955.1	1628	1368	0	2996
s__2-01-FULL-41-14_sp001767855--GB_GCA_001767855.1	516	423	491	1430
s__3-1-20CM-2-70-9_sp005882765--GB_GCA_005882765.1	1453	1952	1207	4612
s__Acetatifactor_sp934433135--GB_GCA_934433135.1	1893	2790	932	5615
s__Accumulibacter_sp000585015--GB_GCA_000585015.1	3068	1447	719	5234
s__2-12-FULL-52-36_sp001828545--GB_GCA_001828545.1	885	1055	0	1940
s__4572-104_sp016935815--GB_GCA_016935815.1	1200	982	0	2182
s__ARK-14_sp002899805--GB_GCA_002899805.1	834	1162	0	1996
s__2-12-FULL-37-12_sp001769655--GB_GCA_001769655.1	2452	1116	0	3568
s__Accumulibacter_phosphatis_G--RS_GCF_012939955.1	3217	2926	0	6143
s__Acetobacter_pasteurianus--RS_GCF_000285275.1	2082	2607	3210	7899
s__Acetatifactor_sp910586835--GB_GCA_910586835.1	2472	963	0	3435
s__63-22_sp900465915--GB_GCA_900465915.1	3612	660	0	4272
s__1XD42-69_sp910588565--GB_GCA_910588565.1	2238	1134	0	3372
s__41-269_sp001508005--GB_GCA_001508005.1	1253	520	0	1773
s__AC2028_sp016285265--GB_GCA_016285265.1	1984	1128	0	3112
s__AC2028_sp017964745--GB_GCA_017964745.1	897	2562	1335	4794
s__2-02-FULL-48-16_sp001821135--GB_GCA_001821135.1	535	140	202	877
s__AV80_sp003134765--GB_GCA_003134765.1	3447	653	409	4509
s__2-02-FULL-63-19_sp001770415--GB_GCA_001770415.1	3143	2388	0	5531
s__41T-STBD-0c-01a_sp024235415--GB_GCA_024235415.1	1443	2396	1763	5602
s__3-1-20CM-2-70-9_sp005883775--GB_GCA_005883775.1	1263	2236	1146	4645
s__14-2_sp910575035--GB_GCA_910575035.1	3329	261	1839	5429
s__2-12-FULL-40-28_sp001798135--GB_GCA_001798135.1	2027	8	17	2052
s__40CM-2-53-6_sp005882905--GB_GCA_005882905.1	674	2021	745	3440
s__40CM-4-65-16_sp005880795--GB_GCA_005880795.1	1786	2455	1344	5585
s__2-02-FULL-43-16_sp001821935--GB_GCA_001821935.1	702	289	122	1113
s__0-14-0-80-60-11_sp018897875--GB_GCA_018897875.1	2603	1848	1053	5504
s__2-02-FULL-37-13_sp001782195--GB_GCA_001782195.1	651	532	389	1572
s__Acetobacter_sp017413025--GB_GCA_017413025.1	912	1889	627	3428
s__63-22_sp001898995--GB_GCA_001898995.1	3673	306	0	3979
s__Acetobacter_cerevisiae--RS_GCF_001580535.1	2154	1641	1910	5705
s__Acetobacter_senegalensis--RS_GCF_001580995.1	2412	4151	2798	9361
s__Acetobacter_peroxydans--RS_GCF_006539345.1	1977	769	824	3570
s__Acetatifactor_sp900760705--GB_GCA_900760705.1	1613	1700	694	4007
s__13-2-20CM-66-19_sp021845825--GB_GCA_021845825.1	1696	4404	0	6100
s__2-01-FULL-43-22_sp001795615--GB_GCA_001795615.1	648	304	0	952
s__AWRV01_sp000504185--RS_GCF_016806125.1	4672	497	0	5169
s__2-01-FULL-39-33_sp001817505--GB_GCA_001817505.1	842	272	0	1114
s__ARS1285_sp002688165--GB_GCA_002688165.1	466	638	0	1104
s__49-20_sp002436085--GB_GCA_002436085.1	1394	900	0	2294
s__2-02-FULL-66-14_sp004298295--GB_GCA_004298295.1	1652	2806	0	4458
s__55-13_sp001898035--GB_GCA_001898035.1	4039	599	0	4638
s__13-2-20CM-66-19_sp021851405--GB_GCA_021851405.1	2168	1769	0	3937
s__50-400-T64_sp002162755--GB_GCA_002162755.1	2592	458	0	3050
s__AWTP1-35_sp003962875--GB_GCA_020637215.1	2360	3578	1123	7061
s__Acetatifactor_sp910589655--GB_GCA_910589655.1	2604	1250	712	4566
s__79-D21_sp000402835--GB_GCA_000402835.1	815	698	1414	2927
s__AR31_sp003221515--GB_GCA_003221515.1	3988	2450	941	7379
s__Acetobacter_ascendens--RS_GCF_001766235.1	1976	1623	420	4019
s__Acetanaerobacterium_sp023460535--GB_GCA_023460535.1	679	1310	1564	3553
s__Acetobacter_malorum--RS_GCF_001580615.1	2107	4448	821	7376
s__2-01-FULL-39-28_sp001794635--GB_GCA_001794635.1	555	130	395	1080
s__Acetilactobacillus_jinshanensis--RS_GCF_004359375.1	1531	46	0	1577
s__51-20_sp944390915--GB_GCA_944390915.1	971	1016	0	1987
s__1-14-0-10-37-14_sp002778705--GB_GCA_002778705.1	827	153	0	980
s__Acetobacter_malorum_A--RS_GCF_002153605.1	1975	2923	0	4898
s__14-2_sp910580015--GB_GCA_910580015.1	1813	1477	0	3290
s__2-02-FULL-45-21_sp001805845--GB_GCA_001805845.1	540	435	328	1303
s__Accumulibacter_proximus--GB_GCA_016709675.1	2646	3219	0	5865
s__Acetobacter_sp022483985--GB_GCA_022483985.1	2935	277	119	3331
s__41T-STBD-0c-01a_sp024235395--GB_GCA_024235395.1	3527	1497	0	5024
s__2-12-FULL-62-27_sp001784175--GB_GCA_001784175.1	2796	1273	0	4069
s__16-39-46_sp002257235--GB_GCA_002257235.1	1626	138	0	1764
s__Acetatifactor_muris_B--GB_GCA_023664365.1	2955	1759	0	4714
s__2-02-FULL-66-22_sp016180655--GB_GCA_016180655.1	1108	4613	3148	8869
s__46-32_sp001898405--GB_GCA_001898405.1	2976	2162	1801	6939
s__66-474_sp001899805--GB_GCA_001899805.1	3017	167	243	3427
s__1XD8-76_sp910578085--GB_GCA_910578085.1	2163	2928	819	5910
s__AR37_sp003220345--GB_GCA_003220345.1	3969	3573	0	7542
s__Acetobacter_oryzifermentans--RS_GCF_001628715.1	2201	1573	1725	5499
s__AWTP1-9_sp016200915--GB_GCA_016200915.1	3067	1910	0	4977
s__2-02-FULL-35-15_sp001784585--GB_GCA_001784585.1	1762	290	0	2052
s__2-01-FULL-41-22_sp001789805--GB_GCA_001789805.1	555	752	0	1307
s__2-01-FULL-51-21_sp001781435--GB_GCA_001781435.1	472	412	0	884
s__2-02-FULL-62-14_sp020028595--GB_GCA_020028595.1	654	1711	886	3251
s__Acetobacter_sp017474285--GB_GCA_017474285.1	893	1313	0	2206
s__AU392_sp003443635--GB_GCA_003443635.1	3021	27	0	3048
s__Acetanaerobacterium_sp023412215--GB_GCA_023412215.1	2327	1548	0	3875
s__Acetatifactor_sp910584235--GB_GCA_910584235.1	2945	1943	0	4888
s__2-12-FULL-43-12_sp001783065--GB_GCA_001783065.1	656	251	321	1228
s__2-12-FULL-35-15_sp903889605--GB_GCA_903889605.1	3619	3309	0	6928
s__2-01-FULL-45-33_sp001778875--GB_GCA_001778875.1	722	197	175	1094
s__13-2-20CM-66-19_sp003136935--GB_GCA_003136935.1	1879	2795	0	4674
s__2-01-FULL-39-24_sp001789445--GB_GCA_001789445.1	565	421	371	1357
s__40-80_sp001899145--GB_GCA_001899145.1	2903	355	0	3258
s__Acetatifactor_sp900066565--GB_GCA_003584705.1	2079	13444	5571	21094
s__3-1-20CM-4-69-9_sp005883355--GB_GCA_005883355.1	2509	1766	0	4275
s__28-YEA-48_sp903861645--GB_GCA_903861645.1	3467	2458	630	6555
s__4572-112_sp015493685--GB_GCA_015493685.1	1886	1410	727	4023
s__Acetatifactor_sp900755865--GB_GCA_900755865.1	1758	2064	954	4776
s__2-01-FULL-44-22_sp001795975--GB_GCA_001795975.1	361	418	233	1012
s__AP-15_sp005888425--GB_GCA_005888425.1	1265	4371	1505	7141
s__Acetatifactor_sp016293615--GB_GCA_016293615.1	1784	973	394	3151
s__2-02-FULL-62-14_sp009692155--GB_GCA_009692155.1	1166	932	0	2098
s__Accumulibacter_sp023806625--GB_GCA_023806625.1	3225	575	0	3800
s__AV69_sp003219125--GB_GCA_003219125.1	1678	2796	0	4474
s__38-11_sp001509345--GB_GCA_001509345.1	1548	1198	0	2746
s__66-26_sp001897745--GB_GCA_001897745.1	2688	1193	1326	5207
s__14-2_sp910585625--GB_GCA_910585625.1	2479	913	0	3392
s__AG-12_sp013044295--GB_GCA_013044295.1	1825	1267	0	3092
s__AG25_sp003221005--GB_GCA_003221005.1	1600	2454	0	4054
s__20CM-2-55-15_sp001920875--GB_GCA_001920875.1	1914	2604	0	4518
s__64-32_sp001508155--GB_GCA_001508155.1	1431	1141	385	2957
s__1-14-0-10-31-34_sp018829335--GB_GCA_018829335.1	1149	935	0	2084
s__AG-12_sp021802115--GB_GCA_021802115.1	89	4480	3535	8104
s__2-01-FULL-41-18_sp001772615--GB_GCA_001772615.1	992	47	0	1039
s__2-02-FULL-63-19_sp001770425--GB_GCA_001770425.1	1739	2169	1237	5145
s__AC-51_sp005885035--GB_GCA_005885035.1	1216	2146	1302	4664
s__Accumulibacter_sp000585075--GB_GCA_000585075.1	2962	3299	1267	7528
s__2-02-FULL-44-35_sp001822695--GB_GCA_001822695.1	503	277	0	780
s__Accumulibacter_sp024235715--GB_GCA_024235715.1	2451	2215	0	4666
s__1109_sp001028815--GB_GCA_001028815.1	2257	403	0	2660
s__58-81_sp012729145--GB_GCA_012729145.1	1415	865	384	2664
s__2-01-FULL-40-13_sp001789745--GB_GCA_001789745.1	904	438	0	1342
s__Acetobacter_garciniae--RS_GCF_017377735.1	3352	53	0	3405
s__13-2-20CM-66-19_sp005877705--GB_GCA_005877705.1	1549	3618	0	5167
s__Acetatifactor_intestinalis--RS_GCF_009695995.1	1861	12025	5645	19531
s__1-14-0-10-45-20_sp007378985--GB_GCA_007378985.1	487	537	258	1282
s__2-12-FULL-55-11_sp001787585--GB_GCA_001787585.1	705	651	354	1710
s__Acetatifactor_sp023664665--GB_GCA_023664665.1	2148	503	575	3226
s__40CM-4-65-16_sp005881275--GB_GCA_005881275.1	1798	2199	1277	5274
s__2-12-FULL-66-21_sp001767455--GB_GCA_001767455.1	5216	749	0	5965
s__Acetatifactor_muris_A--GB_GCA_023663635.1	2269	280	375	2924
s__2-01-FULL-43-38_sp000997105--GB_GCA_000997105.1	555	516	361	1432
s__14-2_sp910575005--GB_GCA_910575005.1	2481	566	1301	4348
s__14-2_sp910575075--GB_GCA_910575075.1	2980	454	565	3999
s__Acetatifactor_sp910585425--GB_GCA_910585425.1	2680	3909	0	6589
s__3-1-20CM-2-70-9_sp005889275--GB_GCA_005889275.1	1686	2270	0	3956
s__2011-GWC2-44-17_sp001790515--GB_GCA_001790515.1	1139	153	114	1406
s__1XD42-69_sp003612565--RS_GCF_003612565.1	2307	2863	576	5746
s__2-01-FULL-45-33_sp001778595--GB_GCA_001778595.1	804	335	0	1139
s__Acetatifactor_sp910588225--GB_GCA_910588225.1	1541	2653	0	4194
s__69-11_sp001898425--GB_GCA_001898425.1	4590	2245	0	6835
s__AR12_sp003220335--GB_GCA_003220335.1	3599	5026	0	8625
s__4484-219_sp002085035--GB_GCA_002085035.1	925	3376	1710	6011
s__42-54-T18_sp002162955--GB_GCA_002162955.1	5454	411	0	5865
s__2-12-FULL-57-11_sp001791115--GB_GCA_001791115.1	561	689	0	1250
s__2-01-FULL-39-21_sp001792305--GB_GCA_001792305.1	790	407	0	1197
s__2-02-FULL-49-12_sp001796315--GB_GCA_001796315.1	902	1125	594	2621
s__AG-426-M11_sp003213095--GB_GCA_003213095.1	865	1289	592	2746
s__Acetobacter_persici--RS_GCF_000613905.1	2280	5711	1539	9530
s__Accumulibacter_sp014879755--GB_GCA_024235695.1	1930	2634	1329	5893
s__2-12-FULL-41-17_sp001774945--GB_GCA_001774945.1	455	669	402	1526
s__41-12-T18_sp002163085--GB_GCA_002163085.1	2033	495	0	2528
s__4484-276_sp002254335--GB_GCA_002254335.1	986	3669	0	4655
s__54-19_sp001898225--GB_GCA_001898225.1	7153	433	0	7586
s__Acetobacter_aceti--RS_GCF_000193495.2	2626	532	1408	4566
s__AC2028_sp902790935--GB_GCA_902790935.1	1120	1159	598	2877
s__39-52-133_sp002278935--GB_GCA_002278935.1	3106	107	40	3253
s__28-YEA-48_sp903851305--GB_GCA_903851305.1	2442	528	215	3185
s__AWTP1-13_sp019747815--GB_GCA_019747815.1	2556	3597	0	6153
s__AV80_sp003169695--GB_GCA_003169695.1	2407	1404	1572	5383
s__ATM1_sp003577165--GB_GCA_003577165.1	2375	519	271	3165
s__2-01-FULL-38-21_sp001782085--GB_GCA_001782085.1	769	372	0	1141
s__AAA044-D11_sp903838035--GB_GCA_903838035.1	999	1208	582	2789
s__Acd1_sp000389735--GB_GCA_000389735.1	1168	2190	900	4258
s__AG-12_sp021809895--GB_GCA_021809895.1	790	3176	0	3966
s__2-12-FULL-35-15_sp903870175--GB_GCA_903870175.1	1820	2685	1874	6379
s__Acetobacter_orientalis--RS_GCF_000963965.1	2175	1917	1312	5404
s__2-12-FULL-68-20_sp001770655--GB_GCA_001770655.1	2531	1833	0	4364
s__AR12_sp003220475--GB_GCA_003220475.1	3226	3612	0	6838
s__2-01-FULL-33-17_sp001786995--GB_GCA_001786995.1	509	242	0	751
s__Acetatifactor_sp910579755--GB_GCA_910579755.1	2630	1170	0	3800
s__20CM-2-70-11_sp003220315--GB_GCA_003220315.1	1537	3537	2432	7506
s__Acetobacter_oryzoeni--RS_GCF_004014775.2	1556	1013	1444	4013
s__2-01-FULL-46-13_sp001780775--GB_GCA_001780775.1	639	274	305	1218
s__40CM-4-65-16_sp005882135--GB_GCA_005882135.1	1995	2778	1161	5934
s__14-2_sp000403315--GB_GCA_000403315.2	1944	3191	1517	6652
s__AAA044-D11_sp009705075--GB_GCA_009705075.1	539	965	0	1504
s__02-FULL-45-11b_sp001817615--GB_GCA_001817615.1	563	613	342	1518
s__Acetatifactor_sp003612485--GB_GCA_003612485.1	2638	1762	463	4863
s__40CM-4-65-16_sp001917775--GB_GCA_005882115.1	2325	3007	1294	6626
s__2-01-FULL-50-28_sp001816585--GB_GCA_001816585.1	1189	73	0	1262
s__Acetatifactor_sp017527205--GB_GCA_017527205.1	1841	3769	1532	7142
s__40CM-68-15_sp003220615--GB_GCA_003220615.1	1956	4398	3433	9787
s__2011-GWC2-44-17_sp001029695--GB_GCA_001029695.1	854	262	447	1563
s__14-2_sp910577785--GB_GCA_910577785.1	1938	1869	606	4413
s__2-01-FULL-49-22_sp001788565--GB_GCA_001788565.1	608	273	0	881
s__Acetobacter_ghanensis--RS_GCF_001499675.1	2496	293	0	2789
s__40CM-2-53-6_sp001919285--GB_GCA_001919285.1	1466	1097	0	2563
s__ASP10-02a_sp002470565--GB_GCA_002470565.1	1409	898	481	2788
s__Acetobacter_fabarum--RS_GCF_011516925.1	2099	1348	1243	4690
s__58-81_sp001509095--GB_GCA_001509095.1	984	2133	990	4107
s__2-01-FULL-46-13_sp001778905--GB_GCA_001778905.1	684	168	176	1028
s__2-02-FULL-50-9b_sp001782975--GB_GCA_001782975.1	457	635	0	1092
s__50-400-T64_sp002162825--GB_GCA_002162825.1	1387	1633	959	3979
s__46-32_sp001898485--GB_GCA_001898485.1	3720	974	607	5301
s__Accumulibacter_vicinus--GB_GCA_002425405.1	3124	2102	0	5226
s__AF33-28_sp003477885--RS_GCF_003477885.1	3061	1732	887	5680
s__Acetatifactor_sp900554205--GB_GCA_900554205.1	1836	2139	1619	5594
s__50-218_sp001508855--GB_GCA_001508855.1	1609	472	0	2081
s__67-14_sp903891285--GB_GCA_903891285.1	1241	1054	0	2295
s__Accumulibacter_similis--GB_GCA_013347225.1	3364	1676	0	5040
s__2-02-FULL-49-16_sp001788955--GB_GCA_001788955.1	844	193	0	1037
s__4484-232_sp002084985--GB_GCA_002084985.1	524	1430	661	2615
s__Acetatifactor_sp910576125--GB_GCA_910576125.1	2490	1867	3206	7563
s__Acetobacter_sicerae--RS_GCF_011516765.1	2696	1681	0	4377
s__1-14-2-50-31-20_sp018818165--GB_GCA_018818165.1	3728	325	145	4198
s__20CM-4-69-16_sp003220935--GB_GCA_003220935.1	3029	1901	0	4930
s__Acetobacter_thailandicus--RS_GCF_011516655.1	2035	1294	546	3875
s__Accumulibacter_sp000585055--GB_GCA_000585055.1	3547	1855	0	5402
s__13-2-20CM-66-19_sp021805865--GB_GCA_021805865.1	2243	5535	1703	9481
s__2-02-FULL-43-11_sp001820955--GB_GCA_001820955.1	706	155	357	1218
s__AR19_sp003220595--GB_GCA_003220595.1	2961	2740	0	5701
s__Acetatifactor_sp023664345--GB_GCA_023664345.1	2338	1366	942	4646
s__Acetobacter_sp012517935--GB_GCA_012517935.1	2552	768	619	3939
s__Acetatifactor_sp934436435--GB_GCA_934436435.1	1876	1890	0	3766
s__Acetivibrio_clariflavus--RS_GCF_000237085.1	2670	1712	953	5335
s__2-12-FULL-65-11_sp001767495--GB_GCA_001767495.1	3040	1156	0	4196
s__01-FULL-54-110_sp001789045--GB_GCA_001789045.1	750	342	200	1292
s__4572-112_sp022736595--GB_GCA_022736595.1	911	1727	855	3493
s__4484-49_sp002085265--GB_GCA_002085265.1	685	1125	0	1810
s__2-12-FULL-45-10_sp001777995--GB_GCA_001777995.1	454	402	318	1174
s__40CM-2-53-6_sp001915065--GB_GCA_001915065.1	833	1443	1095	3371
s__Acetobacter_nitrogenifigens--RS_GCF_000429165.1	3722	161	0	3883
s__ARK-15_sp002878135--GB_GCA_002878135.1	1185	636	0	1821
s__AP-15_sp019244535--GB_GCA_019244535.1	3613	5003	0	8616
s__Acetatifactor_sp910584865--GB_GCA_910584865.1	3315	2252	0	5567
s__1-14-0-10-32-24_sp018655525--GB_GCA_018655525.1	988	194	111	1293
s__2-01-FULL-43-22_sp001794435--GB_GCA_001794435.1	839	171	0	1010
s__Abiotrophia_sp001815865--RS_GCF_001815865.1	1397	2058	567	4022
s__AC2028_sp902761225--GB_GCA_902761225.1	1455	3761	1079	6295
s__4484-107_sp002059205--GB_GCA_002059205.1	1029	2492	0	3521
s__13-2-20CM-68-14_sp005884005--GB_GCA_005884005.1	1452	2394	0	3846
s__Acetatifactor_sp023663505--GB_GCA_023663505.1	2446	1095	0	3541
s__Acetatifactor_sp002490995--GB_GCA_002490995.1	3208	2897	0	6105
s__AAA044-D11_sp903871555--GB_GCA_903871555.1	1037	2449	1321	4807
s__2-02-FULL-40-12_sp001824375--GB_GCA_001824375.1	364	180	194	738
s__AL-N1_sp013122435--GB_GCA_013122435.1	6872	411	475	7758
s__Acetatifactor_sp003447295--GB_GCA_003447295.1	1723	3244	1692	6659
s__14-2_sp910576385--GB_GCA_910576385.1	2468	2382	0	4850
s__2-01-FULL-40-24_sp001776975--GB_GCA_001776975.1	649	284	0	933
s__2-02-FULL-50-16_sp001798715--GB_GCA_001798715.1	797	987	817	2601
s__3-1-20CM-2-70-9_sp001919195--GB_GCA_005883625.1	1181	3364	1984	6529
s__2-01-FULL-45-10_sp001804065--GB_GCA_001804065.1	844	648	529	2021
s__2-01-FULL-39-21_sp001792535--GB_GCA_001792535.1	1027	279	235	1541
s__21-14-all-39-27_sp002786715--GB_GCA_002786715.1	2011	1110	2018	5139
s__2-02-FULL-42-43_sp001802455--GB_GCA_001802455.1	1563	131	0	1694
s__28-YEA-48_sp903916165--GB_GCA_903916165.1	1581	3752	1914	7247
s__2-01-FULL-46-14_sp001777515--GB_GCA_001777515.1	792	248	278	1318
s__2-02-FULL-58-16_sp001830425--GB_GCA_001830425.1	2612	201	0	2813
s__20CM-2-65-7_sp003222195--GB_GCA_003222195.1	2070	1208	787	4065
s__28-57-27_sp006212015--GB_GCA_006212015.1	1568	777	362	2707
s__14-2_sp910588965--GB_GCA_910588965.1	2677	566	0	3243
s__1XD42-69_sp910589105--GB_GCA_910589105.1	2191	474	0	2665
s__2-01-FULL-40-13_sp001789695--GB_GCA_001789695.1	754	609	509	1872
s__40CM-4-68-19_sp001918155--GB_GCA_001918155.1	1456	3881	3285	8622
s__43-108_sp001915545--GB_GCA_001915545.1	1448	3592	1137	6177
s__2-12-FULL-41-16_sp001782805--GB_GCA_001782805.1	877	62	45	984
s__2-12-FULL-55-11_sp001788925--GB_GCA_001788925.1	894	558	0	1452
s__Acetobacter_indonesiensis--RS_GCF_000963945.1	2300	1735	975	5010
s__13-2-20CM-66-19_sp001914695--GB_GCA_001914695.1	2126	10178	3472	15776
s__2-02-FULL-47-50_sp001801885--GB_GCA_001801885.1	912	1270	802	2984
s__70-18_sp001899585--GB_GCA_001899585.1	3759	1777	0	5536
s__2-12-FULL-35-15_sp903926385--GB_GCA_903926385.1	3350	193	221	3764
s__Acetobacter_tropicalis--RS_GCF_001580915.1	2377	1924	1967	6268
s__AcAMD-2_sp903920865--GB_GCA_903920865.1	1149	1158	641	2948
s__AAA044-D11_sp903938735--GB_GCA_903938735.1	733	1260	721	2714
s__40CM-4-68-19_sp005879505--GB_GCA_005879505.1	1982	4461	0	6443
s__13-2-20CM-66-19_sp005878835--GB_GCA_005878835.1	2596	3473	1505	7574
s__Acetatifactor_muris--RS_GCF_024623325.1	3029	758	2498	6285
s__34-128_sp018819665--GB_GCA_018819665.1	1071	714	510	2295
s__Acetatifactor_sp900772845--GB_GCA_900772845.1	1636	1694	997	4327
s__65-9_sp001899525--GB_GCA_001899525.1	3629	1225	0	4854
s__AA32_sp003223555--GB_GCA_003223555.1	2758	4829	0	7587
s__20CM-2-55-15_sp003223875--GB_GCA_003223875.1	4196	4083	0	8279
s__Acetobacter_oeni--RS_GCF_011516825.1	3666	155	107	3928
s__2-02-FULL-39-13_sp002782365--GB_GCA_002782365.1	391	636	441	1468
s__40CM-2-53-6_sp005883075--GB_GCA_005883075.1	1188	1673	0	2861
s__1XD42-69_sp011959925--GB_GCA_011959925.1	1965	2494	488	4947
s__Accumulibacter_sp023806635--GB_GCA_023806635.1	3755	230	115	4100
s__33-17_sp001897445--GB_GCA_001897445.1	1471	447	0	1918
s__43-37_sp001897475--GB_GCA_001897475.1	1277	452	0	1729
s__Acaryochloris_marina--RS_GCF_000018105.1	5961	1901	0	7862
s__20CM-4-69-16_sp003220795--GB_GCA_003220795.1	2546	950	0	3496
s__2-12-FULL-35-15_sp903847205--GB_GCA_903847205.1	2870	1405	1502	5777
s__2-02-FULL-48-11_sp001805615--GB_GCA_001805615.1	1336	1316	0	2652
s__28-YEA-48_sp903902915--GB_GCA_903902915.1	2943	1977	771	5691
s__Acetatifactor_sp018385425--GB_GCA_018385425.1	1315	1655	861	3831
s__AAA044-D11_sp903919375--GB_GCA_903919375.1	551	1062	772	2385
s__2-02-FULL-44-16_sp001798185--GB_GCA_001798185.1	1783	334	0	2117
s__1-14-0-20-46-22_sp002796245--GB_GCA_002796245.1	1929	262	0	2191
s__Accumulibacter_sp023806565--GB_GCA_023806565.1	3241	663	0	3904
s__67-14_sp903939845--GB_GCA_903939845.1	1529	1613	440	3582
s__2-12-FULL-69-37_sp001790955--GB_GCA_001790955.1	2557	1681	0	4238
s__2-02-FULL-38-15-A_sp001797335--GB_GCA_001797335.1	1280	665	659	2604
s__40CM-2-70-7_sp003222205--GB_GCA_003222205.1	1826	3394	1176	6396
s__40CM-2-53-6_sp001918745--GB_GCA_001918745.1	1680	553	0	2233
s__ASP10-02a_sp024230095--GB_GCA_024230095.1	2439	1689	0	4128
s__2-01-FULL-43-14_sp001816835--GB_GCA_001816835.1	604	474	0	1078
s__Acetobacter_orleanensis--RS_GCF_001581005.1	2635	245	90	2970
s__AV80_sp003134785--GB_GCA_003134785.1	3441	214	545	4200
s__ALPHA2B_sp005503065--GB_GCA_005503065.1	3500	5480	0	8980
s__ARK-14_sp022759165--GB_GCA_022759165.1	793	977	0	1770
s__50-400-T64_sp018069465--GB_GCA_018069465.1	3160	321	0	3481
s__AV40_sp003218705--GB_GCA_003218705.1	1176	1615	0	2791
s__62-47_sp001899255--GB_GCA_001899255.1	4469	155	0	4624
s__2-01-FULL-41-26_sp001794125--GB_GCA_001794125.1	692	191	91	974
s__46-80_sp002382755--GB_GCA_002382755.1	1112	1450	836	3398
s__14-2_sp910575155--GB_GCA_910575155.1	2289	1746	0	4035
s__01-FULL-44-24b_sp001793235--GB_GCA_001793235.1	1010	229	0	1239
s__2-12-FULL-35-15_sp903919535--GB_GCA_903919535.1	2817	1039	0	3856
s__AV40_sp003219215--GB_GCA_003219215.1	943	2611	1367	4921
s__Acetatifactor_sp910589035--GB_GCA_910589035.1	3724	805	0	4529
s__ASP10-02a_sp002312935--GB_GCA_002312935.1	1645	1048	639	3332
s__13-2-20CM-66-19_sp021838065--GB_GCA_021838065.1	1125	2293	0	3418
s__2-12-FULL-35-15_sp005772895--GB_GCA_005772895.1	2453	1146	0	3599
s__1-14-0-20-42-23_sp002796345--GB_GCA_002796345.1	1436	433	468	2337
s__AV40_sp003220055--GB_GCA_003220055.1	1556	1401	0	2957
s__14-2_sp910588845--GB_GCA_910588845.1	2444	970	0	3414
s__3-1-20CM-2-70-9_sp005889075--GB_GCA_005889075.1	2512	1225	0	3737
s__AG1_sp003116855--GB_GCA_003116855.1	1236	1344	529	3109
s__2-01-FULL-52-15_sp001818365--GB_GCA_001818365.1	637	544	0	1181
s__Accumulibacter_sp017302455--GB_GCA_017302455.1	2823	1925	1206	5954
s__Abyssibacter_profundi--RS_GCF_003151135.1	2897	874	0	3771
