gtdb_species_clade_id	ta_core	ta_accessory	ta_singleton	ta_total	median_size_mb	n_genomes_seen	ta_per_mb
s__2-12-FULL-55-11_sp007376635--GB_GCA_007376635.1	8	0	4	12	1.031431	2.0	11.634321636638806
s__2-12-FULL-55-11_sp943354555--GB_GCA_943354555.1	10	0	2	12	0.99496	2.0	12.060786363270886
s__2-12-FULL-57-11_sp001791115--GB_GCA_001791115.1	0	0	2	2	0.789244	2.0	2.5340705789337648
s__2-12-FULL-57-22_sp001798455--GB_GCA_001798455.1	11	0	36	47	1.840725	2.0	25.533417539284795
s__2-12-FULL-60-25_sp001791275--GB_GCA_001791275.1	2	0	0	2	0.872208	2.0	2.29303102012364
s__2-12-FULL-62-27_sp001784175--GB_GCA_001784175.1	30	0	8	38	3.939916	2.0	9.644875677552516
s__2-12-FULL-65-11_sp001767495--GB_GCA_001767495.1	36	0	7	43	3.554858	2.0	12.09612310815228
s__2-12-FULL-66-21_sp001767455--GB_GCA_001767455.1	78	0	12	90	6.381533	2.0	14.103194326504305
s__2-12-FULL-67-15_sp009693905--GB_GCA_009693905.1	11	0	5	16	1.650827	2.0	9.692111893008777
s__2-12-FULL-67-15_sp016872535--GB_GCA_016872535.1	8	0	38	46	2.327838	2.0	19.760825280797032
s__2-12-FULL-68-20_sp001770655--GB_GCA_001770655.1	63	0	24	87	2.909467	2.0	29.902384182394922
s__2-12-FULL-69-37_sp001790955--GB_GCA_001790955.1	6	0	5	11	3.303735	2.0	3.329564871274482
s__2-12-FULL-69-37_sp016184445--GB_GCA_016184445.1	1	0	4	5	1.474396	2.0	3.391219183991275
s__20-14-all-54-14_sp002772205--GB_GCA_002772205.1	0	0	1	1	0.491523	2.0	2.034492790774796
s__2011-GWC2-44-17_sp001029695--GB_GCA_001029695.1	1	0	0	1	1.038683	6.0	0.9627576459805349
s__2011-GWC2-44-17_sp001790515--GB_GCA_001790515.1	1	0	0	1	1.220755	3.0	0.8191651887561386
s__20CM-2-55-15_sp001920875--GB_GCA_001920875.1	6	0	15	21	3.181833	2.0	6.599969263000289
s__20CM-2-55-15_sp003223875--GB_GCA_003223875.1	31	0	19	50	6.014048	2.0	8.31386779753005
s__20CM-2-65-7_sp003222195--GB_GCA_003222195.1	0	1	1	2	3.097512	3.0	0.6456795001924125
s__20CM-2-70-11_sp001914535--GB_GCA_001914535.1	2	6	11	19	2.885594	3.0	6.584432875865419
s__20CM-2-70-11_sp003220315--GB_GCA_003220315.1	8	16	9	33	2.718131	7.0	12.140695205639464
s__20CM-2-70-11_sp003221695--GB_GCA_003221695.1	22	0	2	24	4.209685	2.0	5.701139158868181
s__20CM-4-69-16_sp003220795--GB_GCA_003220795.1	2	0	0	2	3.099313	2.0	0.6453042980815425
s__20CM-4-69-16_sp003220935--GB_GCA_003220935.1	6	0	1	7	4.036211	2.0	1.7342998173286779
s__21-14-all-39-27_sp002786715--GB_GCA_002786715.1	1	3	0	4	4.067533	4.0	0.9833970615604102
s__28-57-27_sp006212015--GB_GCA_006212015.1	3	6	10	19	2.209155	3.0	8.600573522455418
s__28-YEA-48_sp001898965--GB_GCA_001898965.1	0	0	2	2	5.662382	2.0	0.3532082434565524
s__28-YEA-48_sp903825465--GB_GCA_903825465.1	3	5	1	9	4.030148	6.0	2.2331686081999966
s__28-YEA-48_sp903851305--GB_GCA_903851305.1	9	0	1	10	2.716545	3.0	3.681146456252335
s__28-YEA-48_sp903861645--GB_GCA_903861645.1	8	10	7	25	4.133336	5.0	6.048383194591487
s__28-YEA-48_sp903889985--GB_GCA_903889985.1	6	0	5	11	3.876838	2.0	2.8373638516749993
s__28-YEA-48_sp903902915--GB_GCA_903902915.1	19	7	4	30	3.635954	5.0	8.25092946720448
s__28-YEA-48_sp903916165--GB_GCA_903916165.1	4	26	15	45	3.421117	4.0	13.153598663828216
s__28-YEA-48_sp903931945--GB_GCA_903931945.1	41	8	5	54	5.025867	3.0	10.744414844244785
s__3-1-20CM-2-70-9_sp001919195--GB_GCA_005883625.1	2	27	9	38	2.38455	6.0	15.935920823635486
s__3-1-20CM-2-70-9_sp005882765--GB_GCA_005882765.1	3	4	1	8	2.747333	3.0	2.9119149371408564
s__3-1-20CM-2-70-9_sp005883775--GB_GCA_005883775.1	0	1	2	3	2.329803	3.0	1.2876625191056925
s__3-1-20CM-2-70-9_sp005889075--GB_GCA_005889075.1	5	0	3	8	2.827789	2.0	2.8290653934929373
s__3-1-20CM-2-70-9_sp005889275--GB_GCA_005889275.1	0	0	2	2	2.169835	2.0	0.9217290715653494
s__3-1-20CM-3-53-8_sp001920415--GB_GCA_001920415.1	31	0	6	37	4.904582	2.0	7.543966030132639
s__3-1-20CM-4-69-9_sp005883355--GB_GCA_005883355.1	1	0	3	4	2.952623	2.0	1.3547276438610687
s__33-17_sp001897445--GB_GCA_001897445.1	5	0	0	5	1.768238	2.0	2.8276736502665365
s__34-128_sp018819665--GB_GCA_018819665.1	7	4	2	13	1.727936	3.0	7.523426793584948
s__34-128_sp018903015--GB_GCA_018903015.1	2	0	10	12	1.166121	2.0	10.290527312345803
s__38-11_sp001509345--GB_GCA_001509345.1	2	0	0	2	1.882878	2.0	1.062203711552209
s__38-11_sp019084435--GB_GCA_019084435.1	5	0	5	10	2.83312	2.0	3.5296775286609816
s__39-52-133_sp002278935--GB_GCA_002278935.1	21	0	0	21	3.278335	3.0	6.405690693599037
s__40-80_sp001899145--GB_GCA_001899145.1	5	0	0	5	3.38245	2.0	1.478218451122707
s__40CM-2-53-6_sp001915065--GB_GCA_001915065.1	5	3	4	12	1.571095	4.0	7.637984972264568
s__40CM-2-53-6_sp001918745--GB_GCA_001918745.1	3	0	4	7	1.621432	2.0	4.317171487919321
s__40CM-2-53-6_sp001919285--GB_GCA_001919285.1	9	0	12	21	1.500861	2.0	13.99196861001785
s__40CM-2-53-6_sp005882895--GB_GCA_005882895.1	4	0	7	11	1.676054	2.0	6.563034365241216
s__40CM-2-53-6_sp005882905--GB_GCA_005882905.1	0	3	12	15	1.528055	3.0	9.816400587675183
s__40CM-2-53-6_sp005883075--GB_GCA_005883075.1	2	0	1	3	1.500098	2.0	1.9998693418696647
s__40CM-2-70-7_sp003222205--GB_GCA_003222205.1	0	1	2	3	2.534121	8.0	1.1838424447767095
s__40CM-3-55-5_sp001918935--GB_GCA_001918935.1	9	10	9	28	2.865787	4.0	9.77044002223473
s__40CM-3-62-11_sp001914955--GB_GCA_001914955.1	0	7	9	16	1.746767	7.0	9.159779180623403
s__40CM-4-65-16_sp001917775--GB_GCA_005882115.1	2	4	5	11	2.888454	7.0	3.808265598136581
s__40CM-4-65-16_sp005880795--GB_GCA_005880795.1	4	2	7	13	3.1392	4.0	4.14118246687054
s__40CM-4-65-16_sp005881275--GB_GCA_005881275.1	1	2	5	8	2.935853	4.0	2.724932072552679
s__40CM-4-65-16_sp005881335--GB_GCA_005881335.1	0	3	3	6	2.257466	5.0	2.6578473385645673
s__40CM-4-65-16_sp005882135--GB_GCA_005882135.1	5	3	4	12	2.917567	5.0	4.113016084977654
s__40CM-4-65-16_sp005883575--GB_GCA_005883575.1	5	0	4	9	3.224652	2.0	2.790998842665813
s__40CM-4-65-16_sp005887685--GB_GCA_005887685.1	1	0	3	4	3.053379	2.0	1.3100240749674377
s__40CM-4-65-16_sp005889135--GB_GCA_005889135.1	0	2	0	2	2.88157	3.0	0.6940660820316702
s__40CM-4-68-19_sp001918155--GB_GCA_001918155.1	0	4	4	8	3.462135	5.0	2.3107128982549785
s__40CM-4-68-19_sp005879505--GB_GCA_005879505.1	1	0	5	6	3.859475	2.0	1.5546155889078177
s__40CM-4-68-19_sp005879535--GB_GCA_005879535.1	1	3	0	4	5.121538	3.0	0.7810153902987735
s__40CM-4-68-19_sp005879805--GB_GCA_005879805.1	6	10	9	25	4.370918	3.0	5.719622285295675
s__40CM-4-69-5_sp001917535--GB_GCA_001917535.1	9	0	4	13	3.675878	2.0	3.5365700385050864
s__40CM-68-15_sp003220615--GB_GCA_003220615.1	0	8	11	19	4.110931	5.0	4.621824107483196
s__41-12-T18_sp002163085--GB_GCA_002163085.1	0	0	1	1	2.137961	2.0	0.46773537964443695
s__41-12-T18_sp002163115--GB_GCA_002163115.1	7	0	1	8	2.429248	2.0	3.2932002002265723
