gtdb_species_clade_id,total_clusters,annotated_clusters,cog_annotated_clusters,cog_fraction,any_anno_fraction,species_lifestyle,phylum
s__Staphylococcus_felis--RS_GCF_003012915.1,6208,3434,3135,0.504993556701031,0.5531572164948454,host_associated,p__Bacillota
s__Fusobacterium_nucleatum--GB_GCA_000007325.1,3745,2930,2501,0.6678237650200267,0.7823765020026703,host_associated,p__Fusobacteriota
s__Hamiltonella_defensa--RS_GCF_000021705.1,6534,3126,2892,0.4426078971533517,0.47842056932966026,host_associated,p__Pseudomonadota
s__HIMB30_sp002691485--GB_GCA_009886945.1,6056,3982,3884,0.6413474240422721,0.6575297225891678,free_living,p__Pseudomonadota
s__Methanobrevibacter_sp900314635--GB_GCA_900314635.1,7851,3487,3265,0.4158705897337919,0.44414724238950454,host_associated,p__Methanobacteriota
s__CAJBEZ01_sp903952205--GB_GCA_903952205.1,13063,6018,5748,0.44002143458623594,0.46069049988517186,free_living,p__Desulfobacterota
s__C7867-002_sp903872035--GB_GCA_903872035.1,2204,846,813,0.3688747731397459,0.3838475499092559,free_living,p__Patescibacteria
s__Clostridium_AP_scindens--RS_GCF_004295125.1,7133,5705,5004,0.7015281087901304,0.7998037291462218,host_associated,p__Bacillota_A
s__Kocuria_palustris--RS_GCF_016907795.1,5558,3984,3658,0.6581504138179202,0.7168046059733717,host_associated,p__Actinomycetota
s__Campylobacter_lanienae--RS_GCF_002139935.1,4258,2561,2330,0.5472052606857679,0.6014560826679192,host_associated,p__Campylobacterota
s__Burkholderia_ubonensis--RS_GCF_902833085.1,55870,27967,23785,0.42572042240916413,0.5005727581886522,free_living,p__Pseudomonadota
s__Corynebacterium_silvaticum--RS_GCF_004382825.2,2901,2221,1979,0.6821785591175457,0.7655980696311616,host_associated,p__Actinomycetota
s__Clostridioides_sp020641055--RS_GCF_020641055.1,10238,6499,5621,0.5490330142605978,0.6347919515530377,free_living,p__Bacillota_A
s__Corynebacterium_sp008930665--RS_GCF_008930665.1,2615,2242,2054,0.7854684512428298,0.8573613766730401,host_associated,p__Actinomycetota
s__Fen-1308_sp003170655--GB_GCA_003170655.1,12440,5492,5300,0.42604501607717044,0.4414790996784566,free_living,p__Nitrospirota
s__MAG-120531_sp000173115--GB_GCA_000173115.1,8191,4456,4277,0.5221584666096936,0.5440117201806861,free_living,p__Bacteroidota
s__Serratia_ureilytica--RS_GCF_013375155.1,23853,15005,13001,0.5450467446442795,0.6290613340041085,host_associated,p__Pseudomonadota
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,25389,11619,10192,0.4014336917562724,0.4576391350584899,host_associated,p__Bacillota
s__Slackia_A_isoflavoniconvertens--RS_GCF_003725955.1,6825,3783,3559,0.5214652014652015,0.5542857142857143,host_associated,p__Actinomycetota
s__MED-G52_sp002457055--GB_GCA_002457055.1,5406,4021,3901,0.7216056233814281,0.7438031816500185,free_living,p__Pseudomonadota
s__Psychrobacter_pacificensis--RS_GCF_900101915.1,7496,4379,4071,0.5430896478121665,0.5841782283884739,free_living,p__Pseudomonadota
s__Streptococcus_sp000187445--GB_GCA_010604095.1,6645,4346,3990,0.600451467268623,0.654025583145222,host_associated,p__Bacillota
s__Blautia_hansenii--RS_GCF_002222595.2,5266,4383,3914,0.7432586403342195,0.8323205469046715,host_associated,p__Bacillota_A
s__Phocaeicola_plebeius--RS_GCF_000187895.1,12235,8813,7372,0.6025337147527585,0.7203105843890478,host_associated,p__Bacteroidota
s__Enterococcus_B_lactis--RS_GCF_015751045.1,27306,13511,11527,0.4221416538489709,0.494799677726507,host_associated,p__Bacillota
s__Anaerotardibacter_sp000436075--GB_GCA_000436075.1,4927,2628,2522,0.5118733509234829,0.5333874568703064,host_associated,p__Actinomycetota
s__Campylobacter_A_concisus_C--RS_GCF_003048615.2,6407,3407,2852,0.44513813017012643,0.5317621351646636,host_associated,p__Campylobacterota
s__Marivita_cryptomonadis--RS_GCF_002115725.1,5491,4764,4414,0.8038608632307412,0.8676015297759971,host_associated,p__Pseudomonadota
s__Haloferax_volcanii--RS_GCF_000025685.1,8763,5673,4496,0.5130663014949218,0.6473810338925026,free_living,p__Halobacteriota
s__Campylobacter_sp002139915--RS_GCF_002139915.1,4895,2735,2503,0.5113381001021451,0.5587334014300307,host_associated,p__Campylobacterota
s__Pseudomonas_E_extremorientalis--RS_GCF_001870465.1,8307,7056,6372,0.7670639219934995,0.8494041170097508,free_living,p__Pseudomonadota
s__Cryptobacteroides_sp900546445--GB_GCA_900546445.1,3952,2376,2231,0.5645242914979757,0.6012145748987854,host_associated,p__Bacteroidota
s__UBA2645_sp903937405--GB_GCA_903937405.1,3742,1974,1897,0.5069481560662747,0.5275253874933191,free_living,p__Pseudomonadota
s__Flavonifractor_avistercoris--RS_GCF_002161215.1,7512,5187,4721,0.6284611288604899,0.6904952076677316,host_associated,p__Bacillota_A
s__CAG-488_sp000434055--GB_GCA_000434055.1,5987,3279,3000,0.5010856856522465,0.5476866544179054,host_associated,p__Bacillota_A
s__Faecalibacterium_prausnitzii_I--RS_GCF_003287495.1,6138,4213,3913,0.637504072987944,0.6863799283154122,host_associated,p__Bacillota_A
s__Sphaerochaeta_sp002432715--GB_GCA_002432715.1,11835,5613,5273,0.4455428812843262,0.47427122940430927,free_living,p__Spirochaetota
s__UBA12115_sp003514055--GB_GCA_003514055.1,1244,523,505,0.4059485530546624,0.4204180064308682,free_living,p__Patescibacteria
s__Streptomyces_asiaticus--RS_GCF_018138715.1,21646,16098,13988,0.646216391019126,0.7436939850318766,free_living,p__Actinomycetota
s__Corynebacterium_aurimucosum_C--RS_GCF_007672725.1,5537,3814,3235,0.5842513996749142,0.688820661007766,host_associated,p__Actinomycetota
s__Prevotella_sp003447235--GB_GCA_003447235.1,11379,5572,4973,0.43703313120660864,0.48967396080499165,host_associated,p__Bacteroidota
s__CAG-302_sp000431795--GB_GCA_000431795.1,2613,1265,1203,0.46039035591274396,0.4841178721775737,host_associated,p__Bacillota
s__Enterobacter_cloacae--RS_GCF_000025565.1,41416,24270,19814,0.4784141394630095,0.5860054085377632,host_associated,p__Pseudomonadota
s__Actinomyces_oris--RS_GCF_006546825.1,5108,4043,3340,0.653876272513704,0.7915035238841034,host_associated,p__Actinomycetota
s__Morganella_morganii_A--RS_GCF_019242955.1,8440,6148,5487,0.6501184834123223,0.728436018957346,host_associated,p__Pseudomonadota
s__Paraburkholderia_domus--RS_GCF_905220705.1,14261,11198,9890,0.6934997545754155,0.7852184278802328,free_living,p__Pseudomonadota
s__Gluconobacter_oxydans--RS_GCF_006539685.1,5650,3933,3669,0.6493805309734513,0.6961061946902655,host_associated,p__Pseudomonadota
s__Pseudomonas_E_shirazensis--RS_GCF_014268785.2,10084,7615,6837,0.6780047600158667,0.7551566838556129,free_living,p__Pseudomonadota
s__Aeromonas_enteropelogenes--RS_GCF_000819845.1,6628,5272,4870,0.7347616173808087,0.7954133977066988,host_associated,p__Pseudomonadota
s__Prochlorococcus_A_marinus_Q--GB_GCA_000218705.1,4825,3215,3006,0.6230051813471502,0.666321243523316,free_living,p__Cyanobacteriota
s__Kosakonia_cowanii--RS_GCF_001975225.1,10240,7514,6678,0.6521484375,0.7337890625,host_associated,p__Pseudomonadota
s__Mycoplasmoides_pneumoniae--RS_GCF_001272835.1,2752,875,803,0.2917877906976744,0.3179505813953488,host_associated,p__Bacillota
s__Faecalibacterium_longum--RS_GCF_020687245.1,31271,17844,16052,0.5133190495986697,0.5706245403089124,host_associated,p__Bacillota_A
s__Bacteroides_salyersiae--RS_GCF_000381365.1,19702,13679,11630,0.590295401482083,0.6942949954319358,host_associated,p__Bacteroidota
s__Phil1_sp004558525--GB_GCA_004558525.1,3933,2574,2401,0.6104754640223747,0.6544622425629291,host_associated,p__Bacillota_A
s__Blastomonas_delafieldii_A--GB_GCA_001555775.1,10310,7060,6263,0.6074684772065956,0.6847720659553831,free_living,p__Pseudomonadota
s__Ornithospirochaeta_sp002406055--GB_GCA_002406055.1,5891,3027,2832,0.48073332201663554,0.5138346630453233,host_associated,p__Spirochaetota
s__Elizabethkingia_miricola--RS_GCF_001675285.1,10407,7218,5674,0.5452099548380898,0.6935716344767945,host_associated,p__Bacteroidota
s__Parageobacillus_toebii--RS_GCF_003688615.2,7804,5697,4982,0.6383905689390056,0.7300102511532548,free_living,p__Bacillota
s__Ralstonia_sp001078575--GB_GCA_022631215.1,8181,6425,5800,0.7089597848673757,0.7853563134091187,free_living,p__Pseudomonadota
s__Thiopontia_sp018658305--GB_GCA_018658305.1,2796,1989,1914,0.6845493562231759,0.7113733905579399,free_living,p__Pseudomonadota
s__Pseudonocardia_alni--GB_GCA_002813375.1,14294,9174,8646,0.6048691758779907,0.6418077515041276,host_associated,p__Actinomycetota
s__Yersinia_enterocolitica--RS_GCF_901472495.1,24347,14871,12514,0.5139852959296833,0.6107939376514561,host_associated,p__Pseudomonadota
s__Pseudoalteromonas_rhizosphaerae--RS_GCF_902498845.1,10565,7487,6340,0.6000946521533365,0.7086606720302887,free_living,p__Pseudomonadota
s__Clostridium_AD_estertheticum--RS_GCF_001877035.1,14990,9604,8353,0.557238158772515,0.6406937958639093,host_associated,p__Bacillota_A
s__Methylopumilus_universalis--RS_GCF_006365315.1,4332,2917,2825,0.6521237303785781,0.6733610341643582,free_living,p__Pseudomonadota
s__Pseudoalteromonas_atlantica--GB_GCA_007988745.1,13130,8561,7383,0.5623000761614623,0.652018278750952,free_living,p__Pseudomonadota
s__Spyradocola_merdavium--GB_GCA_904393115.1,6938,3858,3745,0.539780916690689,0.5560680311328913,host_associated,p__Bacillota_A
s__F23-B02_sp004556755--GB_GCA_004556755.1,4328,2620,2446,0.5651571164510166,0.6053604436229205,host_associated,p__Bacillota_A
s__Methanobrevibacter_A_sp900314695--GB_GCA_900314695.1,11311,4579,4234,0.37432587746441515,0.4048271594023517,host_associated,p__Methanobacteriota
s__RAAP-2_sp903825035--GB_GCA_903825035.1,4808,2586,2499,0.5197587354409318,0.5378535773710482,free_living,p__Actinomycetota
s__Lactobacillus_gallinarum--RS_GCF_001434975.1,6037,4038,3520,0.5830710617856552,0.6688752691734305,host_associated,p__Bacillota
s__Vescimonas_coprocola--RS_GCF_018408575.1,6674,4227,3836,0.5747677554689841,0.6333533113575067,host_associated,p__Bacillota_A
s__Accumulibacter_cognatus--GB_GCA_013414765.1,9269,5771,5305,0.5723379005286439,0.6226130111123098,free_living,p__Pseudomonadota
s__SUP05_sp000205985--GB_GCA_000205985.2,3506,2313,2243,0.6397604107244723,0.6597261836851113,free_living,p__Pseudomonadota
s__BACL14_sp018657165--GB_GCA_018657165.1,3371,2132,2097,0.6220706021951943,0.6324532779590626,free_living,p__Pseudomonadota
s__JAABQG01_sp016721925--GB_GCA_016721925.1,12298,6859,6437,0.5234184420230932,0.5577329647097089,free_living,p__Pseudomonadota
s__NS-7_sp020028195--GB_GCA_020028195.1,10490,4708,4500,0.42897998093422307,0.4488083889418494,free_living,p__Nitrospirota
s__Salinivibrio_proteolyticus--RS_GCF_001996165.1,6243,4841,4392,0.703507928880346,0.7754284798974852,free_living,p__Pseudomonadota
s__KLE1615_sp900066985--GB_GCA_003478935.1,19974,11752,10456,0.5234805246820867,0.5883648743366376,host_associated,p__Bacillota_A
s__Veillonella_A_sp000431435--RS_GCF_023051165.1,6710,4075,3762,0.5606557377049181,0.6073025335320418,host_associated,p__Bacillota_C
s__Vulcanococcus_sp000179255--RS_GCF_023078835.1,5638,3554,3212,0.5697055693508336,0.6303653777935438,free_living,p__Cyanobacteriota
s__Exiguobacterium_chiriqhucha--RS_GCF_000416965.1,6431,4741,4307,0.6697247706422018,0.7372103871870627,free_living,p__Bacillota
s__Bradyrhizobium_canariense_D--RS_GCF_021052305.1,38274,21943,18574,0.48529027538276637,0.5733134765114699,host_associated,p__Pseudomonadota
s__Klebsiella_pneumoniae--RS_GCF_000742135.1,443124,119016,105172,0.23734214350836336,0.26858396295393616,host_associated,p__Pseudomonadota
s__Salinivibrio_costicola--GB_GCA_000565345.1,7464,5051,4726,0.6331725616291533,0.6767148981779206,free_living,p__Pseudomonadota
s__Acidaminococcus_intestini--RS_GCF_000425045.1,6107,4383,3898,0.6382839364663501,0.7177009988537744,host_associated,p__Bacillota_C
s__Parasutterella_gallistercoris--GB_GCA_000980495.1,5836,3664,3342,0.5726525017135023,0.6278272789581906,host_associated,p__Pseudomonadota
s__Prevotella_sp900546535--RS_GCF_009494395.1,10991,6688,5927,0.539259394049677,0.6084978618869985,host_associated,p__Bacteroidota
s__Fimenecus_sp004556705--GB_GCA_004556705.1,7323,4214,3803,0.519322681960945,0.5754472210842551,host_associated,p__Bacillota_A
s__Prevotella_sp900313215--RS_GCF_009495355.1,25423,12112,10698,0.4208000629351375,0.47641899067773275,host_associated,p__Bacteroidota
s__RAAP-2_sp903830655--GB_GCA_903830655.1,2853,1718,1661,0.5821941815632667,0.6021731510690501,free_living,p__Actinomycetota
s__Bifidobacterium_pullorum_B--RS_GCF_000741215.1,6549,4176,3742,0.5713849442663002,0.6376546037562987,host_associated,p__Actinomycetota
s__Acidovorax_A_avenae--RS_GCF_000176855.2,14157,6962,6262,0.4423253514162605,0.49177085540721904,host_associated,p__Pseudomonadota
s__Venatoribacter_alkanivorans--RS_GCF_020447205.1,7487,4971,4597,0.6139975958327768,0.6639508481367704,free_living,p__Pseudomonadota
s__Acinetobacter_pittii_H--RS_GCF_002928115.1,6816,5733,4654,0.6828051643192489,0.8411091549295775,host_associated,p__Pseudomonadota
s__UBA9973_sp000999465--GB_GCA_000999465.1,1623,762,733,0.45163277880468267,0.46950092421441775,free_living,p__Patescibacteria
s__Fischerella_thermalis--RS_GCF_000317225.1,15579,8570,7599,0.48777200077026767,0.5500994929071186,free_living,p__Cyanobacteriota
s__Chlamydophila_pecorum--RS_GCF_000204135.1,1322,929,891,0.6739788199697428,0.7027231467473525,host_associated,p__Chlamydiota
s__Mobiluncus_mulieris--RS_GCF_000160615.1,4885,2957,2666,0.5457523029682703,0.6053224155578301,host_associated,p__Actinomycetota
s__Vibrio_rotiferianus--RS_GCF_002741985.1,10955,8169,7041,0.6427202190780466,0.7456869009584665,host_associated,p__Pseudomonadota
s__Streptomyces_sioyaensis--RS_GCF_004122735.1,13735,10944,9104,0.6628321805606116,0.7967965052784857,free_living,p__Actinomycetota
s__Prevotella_sp900315455--GB_GCA_900315455.1,8400,4735,4314,0.5135714285714286,0.5636904761904762,host_associated,p__Bacteroidota
s__CAG-791_sp900101015--RS_GCF_900101015.1,19427,9218,8613,0.4433520358264271,0.4744942605651928,host_associated,p__Bacillota_A
s__Lactobacillus_gasseri--RS_GCF_000014425.1,6332,4026,3590,0.5669614655716994,0.6358180669614656,host_associated,p__Bacillota
s__Butyrivibrio_fibrisolvens_C--RS_GCF_023206215.1,10894,7717,6685,0.6136405360749037,0.7083715806866164,host_associated,p__Bacillota_A
s__Aquarickettsia_rohweri--RS_GCF_003953955.1,2931,1333,1305,0.4452405322415558,0.45479358580689183,host_associated,p__Pseudomonadota
s__Bacillus_H_clausii--RS_GCF_002250115.1,8017,5562,5082,0.6339029562180367,0.6937757265810154,free_living,p__Bacillota
s__Dermatophilus_congolensis_A--RS_GCF_900447215.1,3257,2038,1949,0.5984034387473135,0.6257291986490635,host_associated,p__Actinomycetota
s__Aggregatibacter_kilianii--RS_GCF_003130255.1,2954,2537,2360,0.7989167230873392,0.8588354773188897,host_associated,p__Pseudomonadota
s__Enterococcus_faecalis--RS_GCF_000392875.1,68791,29353,25089,0.36471340727711477,0.4266982599467954,host_associated,p__Bacillota
s__CAG-882_sp003486385--GB_GCA_003486385.1,6643,4483,4024,0.6057504139695921,0.6748457022429625,host_associated,p__Bacillota_A
s__Prevotella_sp900552515--RS_GCF_021531355.1,6696,4329,3969,0.592741935483871,0.646505376344086,host_associated,p__Bacteroidota
s__UBA4334_sp900316505--GB_GCA_900316505.1,18436,7957,7283,0.3950423085267954,0.43160121501410287,host_associated,p__Bacteroidota
s__UBA2804_sp900319705--GB_GCA_900319705.1,6251,3232,3016,0.48248280275155975,0.5170372740361542,host_associated,p__Pseudomonadota
s__AAA044-D11_sp903842675--GB_GCA_903842675.1,5960,3392,3341,0.5605704697986578,0.5691275167785235,free_living,p__Actinomycetota
s__Alistipes_excrementavium--RS_GCF_900021155.1,4651,2627,2444,0.525478391743711,0.5648247688669104,host_associated,p__Bacteroidota
s__COE1_sp001916965--GB_GCA_001916965.1,8882,5911,5317,0.5986264354875028,0.6655032650303986,host_associated,p__Bacillota_A
s__Intestinimonas_butyriciproducens--RS_GCF_004154955.1,11426,8143,6837,0.5983721337300892,0.7126728513915631,host_associated,p__Bacillota_A
s__Prevotella_sp000434975--RS_GCF_019052365.1,13930,7126,6168,0.44278535534816943,0.5115577889447236,host_associated,p__Bacteroidota
s__Klebsiella_planticola--RS_GCF_000735435.1,21611,14189,12119,0.560779232798112,0.6565637869603442,host_associated,p__Pseudomonadota
s__Methanoculleus_sp002497965--GB_GCA_002497965.1,6459,3055,2800,0.43350363833410743,0.4729834339681065,free_living,p__Halobacteriota
s__Nitratireductor_aquimarinus--RS_GCF_017255295.1,7193,5851,5393,0.7497567079104686,0.8134297233421381,free_living,p__Pseudomonadota
s__Blattabacterium_punctulatus--RS_GCF_000236405.1,674,579,567,0.841246290801187,0.8590504451038575,host_associated,p__Bacteroidota
s__Bifidobacterium_moukalabense--RS_GCF_000522505.1,3283,2581,2241,0.6826073713067317,0.7861711848918672,host_associated,p__Actinomycetota
s__Pseudomonas_aeruginosa--RS_GCF_001457615.1,256093,93665,83793,0.32719754151812036,0.3657460375722882,host_associated,p__Pseudomonadota
s__CAG-603_sp900066105--GB_GCA_902362455.1,6492,3928,3467,0.5340418977202711,0.6050523721503389,host_associated,p__Bacillota_A
s__Tractidigestivibacter_sp000752675--GB_GCA_000752675.2,3864,2866,2655,0.687111801242236,0.7417184265010351,host_associated,p__Actinomycetota
s__Turicibacter_sanguinis--RS_GCF_013046825.1,6369,4218,3861,0.6062176165803109,0.6622703721149317,host_associated,p__Bacillota
s__Coprobacillus_cateniformis--RS_GCF_009767585.1,7593,5224,4713,0.6207032793362307,0.6880021072040037,host_associated,p__Bacillota
s__Bacteroides_faecis--RS_GCF_900106755.1,24324,15066,12194,0.5013155730965302,0.6193882585101135,host_associated,p__Bacteroidota
s__CAG-417_sp000432835--GB_GCA_000432835.1,3482,1410,1291,0.37076392877656517,0.40493968983342904,host_associated,p__Bacillota
s__Prevotella_bryantii--RS_GCF_022024235.1,7081,4293,3917,0.5531704561502613,0.606270300804971,host_associated,p__Bacteroidota
s__TCS55_sp018674655--GB_GCA_018674655.1,6642,3669,3524,0.5305630834086119,0.552393857271906,free_living,p__Marinisomatota
s__Prevotella_sp934191715--GB_GCA_934191715.1,18532,9222,8384,0.4524066479602849,0.49762572846967407,host_associated,p__Bacteroidota
s__Aminobacterium_colombiense--RS_GCF_000025885.1,4316,2858,2708,0.6274328081556997,0.6621872103799815,free_living,p__Synergistota
s__JADJLQ01_sp016709995--GB_GCA_016709995.1,17710,6843,6456,0.3645398080180689,0.38639186900056466,free_living,p__Bacteroidota
s__UBA964_sp010031985--GB_GCA_010031985.1,9229,4741,4630,0.5016794885686423,0.5137067938021455,free_living,p__Pseudomonadota
s__Ralstonia_mannitolilytica--RS_GCF_905397375.1,8923,7215,6300,0.7060405693152527,0.8085845567634203,host_associated,p__Pseudomonadota
s__Streptococcus_uberis--RS_GCF_900475595.1,11416,6439,5536,0.4849334267694464,0.5640329362298528,host_associated,p__Bacillota
s__Neisseria_meningitidis--RS_GCF_900638555.1,35969,11084,10549,0.29328032472406795,0.30815424393227503,host_associated,p__Pseudomonadota
