genome_id	biome_id	species_id	lineage	length	n_contigs	gc_content	completeness	contamination	genome_type	is_species_rep	country	continent	AA	CB	CE	CL	GH	GT	PL	total_cazy	cazy_density	gtdb_phylum
MGYG000000019	human-gut	MGYG000000019	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_O	4955949	51	56.06	99.22	0.18	Isolate	True	United Kingdom	Europe	1.0	6.0	2.0	0.0	46.0	39.0	0.0	94.0	18.967103979480015	Proteobacteria
MGYG000000020	human-gut	MGYG000000020	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus	1925070	95	41.79	99.18	0.0	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	5.0	22.0	0.0	28.0	14.544925639067669	Firmicutes
MGYG000000021	human-gut	MGYG000000021	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis_A	1947461	36	40.1	99.46	0.54	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	3.0	15.0	0.0	19.0	9.756292937316845	Firmicutes
MGYG000000022	human-gut	MGYG000000022	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	3063217	23	56.24	100.0	0.0	Isolate	True	United Kingdom	Europe	0.0	3.0	2.0	0.0	19.0	16.0	0.0	40.0	13.058167279693212	Firmicutes_A
MGYG000000023	human-gut	MGYG000000023	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	2135140	11	41.56	98.81	0.17	Isolate	True	United Kingdom	Europe	0.0	2.0	1.0	0.0	17.0	17.0	0.0	37.0	17.329074440083556	Firmicutes
MGYG000000024	human-gut	MGYG000000024	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans	3643390	25	28.14	99.3	0.7	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	16.0	13.0	0.0	30.0	8.234089680215403	Firmicutes_A
MGYG000000025	human-gut	MGYG000000025	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	2824738	30	33.04	99.45	1.1	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	6.0	12.0	0.0	20.0	7.080302668778485	Firmicutes
MGYG000000026	human-gut	MGYG000000026	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	2532364	177	34.09	100.0	0.0	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	10.0	20.0	0.0	31.0	12.241526099723421	Firmicutes
MGYG000000027	human-gut	MGYG000000027	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	2395159	46	58.15	99.81	0.55	Isolate	True	United Kingdom	Europe	0.0	1.0	1.0	0.0	7.0	16.0	0.0	25.0	10.43772041856094	Firmicutes_C
MGYG000000028	human-gut	MGYG000000028	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A	2459729	20	36.64	99.33	2.01	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	12.0	16.0	0.0	31.0	12.60301439711448	Firmicutes_A
MGYG000000029	human-gut	MGYG000000029	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	4418465	40	42.15	93.87	0.0	Isolate	True	United Kingdom	Europe	0.0	2.0	1.0	0.0	73.0	17.0	6.0	99.0	22.40597130451412	Bacteroidota
MGYG000000030	human-gut	MGYG000000030	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105	3027291	26	34.0	99.33	0.0	Isolate	True	United Kingdom	Europe	0.0	9.0	0.0	0.0	21.0	12.0	0.0	42.0	13.873790131176685	Firmicutes_A
MGYG000000031	human-gut	MGYG000000031	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	3675824	25	43.88	99.37	0.32	Isolate	True	United Kingdom	Europe	0.0	4.0	0.0	0.0	30.0	19.0	0.0	53.0	14.41853581673116	Firmicutes_A
MGYG000000032	human-gut	MGYG000000032	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	6979496	58	48.87	99.37	1.58	Isolate	True	United Kingdom	Europe	0.0	6.0	2.0	0.0	84.0	26.0	4.0	122.0	17.47977217839225	Firmicutes_A
MGYG000000033	human-gut	MGYG000000033	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	3012737	61	38.2	97.99	1.01	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	25.0	10.0	10.0	48.0	15.932356524980442	Firmicutes_A
MGYG000000034	human-gut	MGYG000000034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis	2756898	14	46.99	98.66	0.13	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	30.0	7.0	0.0	39.0	14.146334031944598	Firmicutes_A
MGYG000000035	human-gut	MGYG000000035	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica	3531725	15	44.88	99.37	1.74	Isolate	True	United Kingdom	Europe	0.0	5.0	0.0	0.0	16.0	18.0	0.0	39.0	11.042762389483894	Firmicutes_A
MGYG000000036	human-gut	MGYG000000036	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus;s__Pseudoruminococcus massiliensis	2416064	11	37.63	99.33	0.34	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	20.0	11.0	0.0	34.0	14.072474901327118	Firmicutes_A
MGYG000000037	human-gut	MGYG000000037	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345	2732957	103	34.21	91.6	1.84	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	5.0	11.0	0.0	17.0	6.220368633681394	Firmicutes
MGYG000000038	human-gut	MGYG000000038	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	3126606	42	41.43	99.42	0.0	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	16.0	18.0	0.0	37.0	11.833918312700735	Firmicutes_A
MGYG000000039	human-gut	MGYG000000039	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H	2852528	49	57.64	99.32	0.0	Isolate	True	United Kingdom	Europe	0.0	3.0	1.0	0.0	20.0	19.0	0.0	43.0	15.074348087030172	Firmicutes_A
MGYG000000040	human-gut	MGYG000000040	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305	2648172	29	47.75	98.58	2.13	Isolate	True	United Kingdom	Europe	0.0	0.0	0.0	0.0	3.0	3.0	0.0	6.0	2.2657138584653866	Firmicutes_A
MGYG000000043	human-gut	MGYG000000043	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066455	4186633	114	46.37	98.88	0.56	Isolate	True	United Kingdom	Europe	0.0	4.0	0.0	0.0	57.0	15.0	1.0	77.0	18.391867641610816	Bacteroidota
MGYG000000044	human-gut	MGYG000000044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	4305808	20	45.24	99.62	0.0	Isolate	True	United Kingdom	Europe	0.0	1.0	1.0	0.0	43.0	22.0	2.0	69.0	16.024866877482694	Bacteroidota
MGYG000000045	human-gut	MGYG000000045	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	2725575	33	29.24	99.06	0.0	Isolate	True	United Kingdom	Europe	0.0	4.0	0.0	0.0	20.0	50.0	1.0	75.0	27.517129413059628	Firmicutes
MGYG000000046	human-gut	MGYG000000046	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii	2561300	55	52.63	99.4	1.2	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	3.0	13.0	0.0	17.0	6.637254519189474	Firmicutes_C
MGYG000000047	human-gut	MGYG000000047	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum_A	3449564	57	28.82	96.77	3.41	Isolate	True	United Kingdom	Europe	0.0	4.0	2.0	0.0	12.0	29.0	0.0	47.0	13.624910278516356	Firmicutes_A
MGYG000000048	human-gut	MGYG000000048	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi	2457263	31	27.23	98.39	1.29	Isolate	True	United Kingdom	Europe	0.0	4.0	2.0	0.0	14.0	18.0	0.0	38.0	15.464360143785992	Firmicutes_A
MGYG000000049	human-gut	MGYG000000049	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp900066495	3390789	38	27.6	98.59	0.7	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	13.0	20.0	1.0	35.0	10.322081379879434	Firmicutes_A
MGYG000000050	human-gut	MGYG000000050	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066505	3891993	92	43.05	98.73	1.27	Isolate	True	United Kingdom	Europe	0.0	5.0	1.0	0.0	23.0	18.0	5.0	52.0	13.360764009596112	Firmicutes_A
MGYG000000051	human-gut	MGYG000000051	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp900066385	3561714	67	49.83	99.37	0.63	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	8.0	22.0	0.0	33.0	9.265202090903426	Firmicutes_A
MGYG000000052	human-gut	MGYG000000052	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp000508985	3276064	77	43.76	99.33	3.36	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	14.0	14.0	0.0	30.0	9.157330259726306	Firmicutes_A
MGYG000000053	human-gut	MGYG000000053	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	2187878	23	64.57	99.52	0.48	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	18.0	11.0	0.0	30.0	13.711916295149912	Bacteroidota
MGYG000000054	human-gut	MGYG000000054	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	5218912	180	43.28	98.88	0.09	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	74.0	15.0	4.0	96.0	18.39463857600971	Bacteroidota
MGYG000000055	human-gut	MGYG000000055	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	3238347	99	49.86	97.92	0.38	Isolate	True	United Kingdom	Europe	0.0	2.0	1.0	0.0	35.0	11.0	0.0	49.0	15.131176492204201	Bacteroidota
MGYG000000056	human-gut	MGYG000000056	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002358615	3326589	75	47.69	99.43	0.75	Isolate	True	United Kingdom	Europe	0.0	2.0	2.0	0.0	53.0	14.0	0.0	71.0	21.343183663506373	Bacteroidota
MGYG000000057	human-gut	MGYG000000057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635	4372611	123	45.91	98.51	0.37	Isolate	True	United Kingdom	Europe	0.0	2.0	2.0	0.0	67.0	15.0	1.0	87.0	19.89657895477096	Bacteroidota
MGYG000000058	human-gut	MGYG000000058	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I sp900066595	3452403	16	42.43	97.91	2.11	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	6.0	12.0	0.0	19.0	5.503413129927184	Firmicutes_A
MGYG000000059	human-gut	MGYG000000059	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645	2891162	15	56.3	99.33	0.0	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	10.0	7.0	0.0	19.0	6.571752119044176	Firmicutes_A
MGYG000000060	human-gut	MGYG000000060	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	3237417	47	37.94	98.66	0.0	Isolate	True	United Kingdom	Europe	0.0	3.0	1.0	0.0	12.0	14.0	1.0	31.0	9.575535063910518	Firmicutes_A
MGYG000000061	human-gut	MGYG000000061	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_E	2187920	76	60.01	99.19	0.81	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	8.0	22.0	0.0	31.0	14.168708179458115	Actinobacteriota
MGYG000000062	human-gut	MGYG000000062	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii	3141706	21	28.59	100.0	0.0	Isolate	True	United Kingdom	Europe	0.0	5.0	0.0	0.0	10.0	12.0	0.0	27.0	8.594056859553376	Firmicutes_A
MGYG000000063	human-gut	MGYG000000063	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia sp900066695	4295701	20	45.09	100.0	0.71	Isolate	True	United Kingdom	Europe	0.0	0.0	0.0	0.0	5.0	4.0	0.0	9.0	2.0951178864636995	Firmicutes_A
MGYG000000064	human-gut	MGYG000000064	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium baratii	3141705	50	28.08	99.19	1.61	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	16.0	22.0	0.0	41.0	13.050238644303015	Firmicutes_A
MGYG000000065	human-gut	MGYG000000065	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp900066705	3036595	96	37.68	99.33	2.68	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	17.0	14.0	0.0	34.0	11.196751624763921	Firmicutes_A
MGYG000000066	human-gut	MGYG000000066	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755;s__GCA-900066755 sp900066755	5880143	121	48.7	100.0	3.64	Isolate	True	United Kingdom	Europe	0.0	3.0	2.0	0.0	37.0	27.0	0.0	69.0	11.734408499929337	Firmicutes_A
MGYG000000067	human-gut	MGYG000000067	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_B;s__Lachnoclostridium_B sp900066765	3714607	66	43.6	95.32	0.58	Isolate	True	United Kingdom	Europe	0.0	5.0	0.0	0.0	12.0	8.0	2.0	27.0	7.2686020351547285	Firmicutes_A
MGYG000000068	human-gut	MGYG000000068	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900291975	2999081	52	56.95	99.33	0.34	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	14.0	10.0	0.0	26.0	8.66932236908573	Firmicutes_A
MGYG000000069	human-gut	MGYG000000069	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum	3104058	38	49.96	99.33	0.0	Isolate	True	United Kingdom	Europe	0.0	2.0	0.0	0.0	40.0	15.0	0.0	57.0	18.363058937687374	Firmicutes_A
MGYG000000070	human-gut	MGYG000000070	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825	3815973	50	57.07	97.99	0.13	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	11.0	7.0	0.0	19.0	4.979070868688012	Firmicutes_A
MGYG000000071	human-gut	MGYG000000071	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus	3929849	47	59.27	96.31	0.0	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	22.0	11.0	0.0	34.0	8.651731911327891	Firmicutes_A
MGYG000000072	human-gut	MGYG000000072	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__UBA1394 sp900066845	2657141	129	36.89	98.66	0.0	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	41.0	11.0	1.0	56.0	21.075283547241188	Firmicutes_A
MGYG000000073	human-gut	MGYG000000073	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__GCA-900066905;g__GCA-900066905;s__GCA-900066905 sp900066905	2617416	11	56.64	99.19	0.81	Isolate	True	United Kingdom	Europe	0.0	1.0	3.0	0.0	19.0	11.0	0.0	34.0	12.989910659979156	Firmicutes_A
MGYG000000074	human-gut	MGYG000000074	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	3215546	8	58.14	99.28	0.48	Isolate	True	United Kingdom	Europe	0.0	2.0	3.0	0.0	31.0	14.0	0.0	50.0	15.549458785537512	Bacteroidota
MGYG000000075	human-gut	MGYG000000075	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue	3147737	44	26.94	99.3	0.23	Isolate	True	United Kingdom	Europe	0.0	1.0	0.0	0.0	8.0	15.0	0.0	24.0	7.624525174752529	Firmicutes_A
MGYG000000076	human-gut	MGYG000000076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	4322432	101	42.37	98.55	0.41	Isolate	True	United Kingdom	Europe	0.0	6.0	0.0	0.0	63.0	20.0	1.0	90.0	20.821611537208682	Firmicutes_A
MGYG000000077	human-gut	MGYG000000077	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	3191314	36	37.84	100.0	1.34	Isolate	True	United Kingdom	Europe	0.0	3.0	0.0	0.0	9.0	13.0	2.0	27.0	8.460464874343295	Firmicutes_A
MGYG000000078	human-gut	MGYG000000078	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae_A	3035220	21	36.48	98.66	0.0	Isolate	True	United Kingdom	Europe	0.0	6.0	1.0	0.0	15.0	6.0	1.0	29.0	9.554496873373266	Firmicutes_A
